d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_CP,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad
23000,Zona Central,Colonia,La Paz,Baja California Sur,La Paz,23001,03,23001,,09,003,0001,Urbano,02
23000,Puerta de Hierro,Fraccionamiento,La Paz,Baja California Sur,La Paz,23001,03,23001,,21,003,0285,Urbano,02
23000,Love,Fraccionamiento,La Paz,Baja California Sur,La Paz,23001,03,23001,,21,003,0290,Urbano,02
23007,Palacio de Gobierno del Estado de Baja California Sur,Equipamiento,La Paz,Baja California Sur,La Paz,23001,03,23001,,17,003,0008,Urbano,02
23009,Oficina Federal de Hacienda,Equipamiento,La Paz,Baja California Sur,La Paz,23001,03,23001,,17,003,0010,Urbano,02
23010,Ciudad del Cielo,Colonia,La Paz,Baja California Sur,La Paz,23001,03,23001,,09,003,0011,Urbano,02
23010,Colina del Sol,Colonia,La Paz,Baja California Sur,La Paz,23001,03,23001,,09,003,0012,Urbano,02
23010,Lomas de Palmira,Colonia,La Paz,Baja California Sur,La Paz,23001,03,23001,,09,003,0013,Urbano,02
23010,Agust�n Olachea,Colonia,La Paz,Baja California Sur,La Paz,23001,03,23001,,09,003,0014,Urbano,02
23010,La Piedra,Fraccionamiento,La Paz,Baja California Sur,La Paz,23001,03,23001,,21,003,0289,Urbano,02
23017,Paseos del Cortes,Colonia,La Paz,Baja California Sur,La Paz,23001,03,23001,,09,003,0016,Urbano,02
23018,Alfonso Sanchez Madariaga INFONAVIT,Unidad habitacional,La Paz,Baja California Sur,La Paz,23001,03,23001,,31,003,0017,Urbano,02
23018,Pedregal del Cortes,Unidad habitacional,La Paz,Baja California Sur,La Paz,23001,03,23001,,31,003,0018,Urbano,02
23018,Reforma,Colonia,La Paz,Baja California Sur,La Paz,23001,03,23001,,09,003,0019,Urbano,02
23019,Policentro Palmira,Colonia,La Paz,Baja California Sur,La Paz,23001,03,23001,,09,003,0022,Urbano,02
23019,Pedregal de la Paz,Fraccionamiento,La Paz,Baja California Sur,La Paz,23001,03,23001,,21,003,0073,Urbano,02
23019,Punta Prieta,Colonia,La Paz,Baja California Sur,La Paz,23001,03,23001,,09,003,0247,Urbano,02
23019,Las Colinas,Fraccionamiento,La Paz,Baja California Sur,La Paz,23001,03,23001,,21,003,0286,Urbano,02
23019,Puerta Cort�s,Fraccionamiento,La Paz,Baja California Sur,La Paz,23001,03,23001,,21,003,0287,Urbano,02
23019,Playa de la Paz,Fraccionamiento,La Paz,Baja California Sur,La Paz,23001,03,23001,,21,003,0288,Urbano,02
23020,Colina de La Cruz,Colonia,La Paz,Baja California Sur,La Paz,23001,03,23001,,09,003,0023,Urbano,02
23020,Esterito,Colonia,La Paz,Baja California Sur,La Paz,23001,03,23001,,09,003,0024,Urbano,02
23020,Ladrillera,Colonia,La Paz,Baja California Sur,La Paz,23001,03,23001,,09,003,0025,Urbano,02
23020,Guerrero,Colonia,La Paz,Baja California Sur,La Paz,23001,03,23001,,09,003,0026,Urbano,02
23020,Manuel Rivera Anaya,Unidad habitacional,La Paz,Baja California Sur,La Paz,23001,03,23001,,31,003,0436,Urbano,02
23026,Antonio Navarro Rubio,Colonia,La Paz,Baja California Sur,La Paz,23001,03,23001,,09,003,0027,Urbano,02
23026,Ampliaci�n Antonio Navarro Rubio,Colonia,La Paz,Baja California Sur,La Paz,23001,03,23001,,09,003,0193,Urbano,02
23029,Zona Militar,Colonia,La Paz,Baja California Sur,La Paz,23001,03,23001,,09,003,0028,Urbano,02
23030,Francisco Villa,Colonia,La Paz,Baja California Sur,La Paz,23001,03,23001,,09,003,0029,Urbano,02
23030,Guadalupe Victoria,Colonia,La Paz,Baja California Sur,La Paz,23001,03,23001,,09,003,0030,Urbano,02
23030,Independencia,Colonia,La Paz,Baja California Sur,La Paz,23001,03,23001,,09,003,0031,Urbano,02
23030,Lienzo Charro,Colonia,La Paz,Baja California Sur,La Paz,23001,03,23001,,09,003,0033,Urbano,02
23030,Loma Linda,Colonia,La Paz,Baja California Sur,La Paz,23001,03,23001,,09,003,0034,Urbano,02
23030,Magisterial,Colonia,La Paz,Baja California Sur,La Paz,23001,03,23001,,09,003,0035,Urbano,02
23030,San Pablo Guelatao,Colonia,La Paz,Baja California Sur,La Paz,23001,03,23001,,09,003,0036,Urbano,02
23034,L�zaro C�rdenas,Colonia,La Paz,Baja California Sur,La Paz,23001,03,23001,,09,003,0032,Urbano,02
23037,Jacinto Lopez,Colonia,La Paz,Baja California Sur,La Paz,23001,03,23001,,09,003,0037,Urbano,02
23038,Loma Obrera,Colonia,La Paz,Baja California Sur,La Paz,23001,03,23001,,09,003,0038,Urbano,02
23038,Valle de las Vinoramas,Fraccionamiento,La Paz,Baja California Sur,La Paz,23001,03,23001,,21,003,0192,Urbano,02
23038,Los Paredones,Colonia,La Paz,Baja California Sur,La Paz,23001,03,23001,,09,003,0274,Urbano,02
23038,Ampliaci�n L�zaro C�rdenas,Colonia,La Paz,Baja California Sur,La Paz,23001,03,23001,,09,003,0437,Urbano,02
23038,Villas de Guadalupe,Colonia,La Paz,Baja California Sur,La Paz,23001,03,23001,,09,003,0717,Urbano,02
23038,Vista Hermosa,Colonia,La Paz,Baja California Sur,La Paz,23001,03,23001,,09,003,0718,Urbano,02
23038,Laguna Azul,Colonia,La Paz,Baja California Sur,La Paz,23001,03,23001,,09,003,0858,Urbano,02
23038,Ampliaci�n Marquez de Leon,Colonia,La Paz,Baja California Sur,La Paz,23001,03,23001,,09,003,0859,Urbano,02
23038,Marquez de Leon,Colonia,La Paz,Baja California Sur,La Paz,23001,03,23001,,09,003,0860,Urbano,02
23039,La Escondida,Colonia,La Paz,Baja California Sur,La Paz,23001,03,23001,,09,003,0039,Urbano,02
23040,Adolfo Ruiz Cortines,Colonia,La Paz,Baja California Sur,La Paz,23001,03,23001,,09,003,0040,Urbano,02
23040,La Rinconada,Colonia,La Paz,Baja California Sur,La Paz,23001,03,23001,,09,003,0041,Urbano,02
23040,Los Olivos,Colonia,La Paz,Baja California Sur,La Paz,23001,03,23001,,09,003,0042,Urbano,02
23040,Perla,Fraccionamiento,La Paz,Baja California Sur,La Paz,23001,03,23001,,21,003,0043,Urbano,02
23040,Petrolera,Colonia,La Paz,Baja California Sur,La Paz,23001,03,23001,,09,003,0044,Urbano,02
23040,ISSSTE,Colonia,La Paz,Baja California Sur,La Paz,23001,03,23001,,09,003,0438,Urbano,02
